,donor,recipient,commitment_amount_usd_constant
0,Australia,Brazil,10843457.0
1,Australia,Chile,11512013.0
2,Australia,Colombia,10565816.0
3,Australia,Cyprus,18728824.0
4,Australia,Czech Republic,6918.0
5,Australia,Hungary,984655.0
6,Australia,India,982075862.0
7,Australia,Korea,7599604.0
8,Australia,Poland,3046.0
9,Australia,Saudi Arabia,7575.0
10,Australia,Slovenia,96659.0
11,Australia,South Africa,240893012.0
12,Australia,Taiwan,552779.0
13,Australia,Thailand,1162746092.0
14,Austria,Brazil,52226511.0
15,Austria,Chile,6426788.0
16,Austria,Colombia,20231447.0
17,Austria,Cyprus,51130825.0
18,Austria,Czech Republic,36364341.0
19,Austria,Estonia,637841.0
20,Austria,Hungary,63871235.0
21,Austria,India,162421492.0
22,Austria,Korea,111526265.0
23,Austria,Kuwait,124190.0
24,Austria,Latvia,899748.0
25,Austria,Lithuania,1520246.0
26,Austria,Poland,33184327.0
27,Austria,Romania,31695093.0
28,Austria,Saudi Arabia,2145296.0
29,Austria,Slovak Republic,44700893.0
30,Austria,Slovenia,46991641.0
31,Austria,South Africa,29251443.0
32,Austria,Taiwan,13165781.0
33,Austria,Thailand,73958508.0
34,Austria,United Arab Emirates,1595041.0
35,Belgium,Brazil,212928735.0
36,Belgium,Chile,59867040.0
37,Belgium,Colombia,102867692.0
38,Belgium,Cyprus,149740.0
39,Belgium,Czech Republic,2043144.0
40,Belgium,Estonia,479423.0
41,Belgium,Hungary,1433578.0
42,Belgium,India,561481858.0
43,Belgium,Korea,52608.0
44,Belgium,Latvia,280576.0
45,Belgium,Lithuania,646128.0
46,Belgium,Poland,800330632.0
47,Belgium,Romania,4513915.0
48,Belgium,Saudi Arabia,9103.0
49,Belgium,Slovak Republic,1635383.0
50,Belgium,Slovenia,1314983.0
51,Belgium,South Africa,340304159.0
52,Belgium,Taiwan,810972.0
53,Belgium,Thailand,53295601.0
54,Brazil,Chile,9907.0
55,Brazil,Colombia,773129.0
56,Brazil,France,8227.0
57,Brazil,Japan,124673.0
58,Brazil,Saudi Arabia,64741.0
59,Brazil,South Africa,153763.0
60,Canada,Brazil,344019962.0
61,Canada,Chile,106773387.0
62,Canada,Colombia,671086359.0
63,Canada,Cyprus,1410195.0
64,Canada,Czech Republic,35911427.0
65,Canada,Estonia,6427755.0
66,Canada,Hungary,15859229.0
67,Canada,India,3659444746.0
68,Canada,Korea,3865408.0
69,Canada,Kuwait,1568.0
70,Canada,Latvia,10030919.0
71,Canada,Lithuania,12308331.0
72,Canada,Poland,1307586093.0
73,Canada,Romania,44042357.0
74,Canada,Saudi Arabia,16166.0
75,Canada,Slovak Republic,14970632.0
76,Canada,Slovenia,25872980.0
77,Canada,South Africa,370099631.0
78,Canada,Thailand,836611055.0
79,Chile,Brazil,78376.0
80,Chile,Chile,108.0
81,Chile,Colombia,480945.0
82,Chile,United States,4920.0
83,Colombia,Chile,158059.0
84,Colombia,Colombia,11468.0
85,Colombia,Thailand,20249.0
86,Colombia,United States,1019.0
87,Cyprus,India,5599.0
88,Czech Republic,Brazil,19072.0
89,Czech Republic,Chile,928893.0
90,Czech Republic,Colombia,132556.0
91,Czech Republic,Estonia,43746.0
92,Czech Republic,India,2056065.0
93,Czech Republic,Latvia,181792.0
94,Czech Republic,Lithuania,849451.0
95,Czech Republic,Romania,4506558.0
96,Czech Republic,Slovak Republic,32178.0
97,Czech Republic,South Africa,25016.0
98,Czech Republic,Thailand,155108.0
99,Denmark,Brazil,3184580.0
100,Denmark,Chile,33407149.0
101,Denmark,Colombia,3146117.0
102,Denmark,India,2004368952.0
103,Denmark,South Africa,411760384.0
104,Denmark,Thailand,489489466.0
105,Denmark,United Arab Emirates,7059757.0
106,Estonia,Czech Republic,94211.0
107,Estonia,India,138257.0
108,Estonia,Poland,46474.0
109,Finland,Brazil,25810862.0
110,Finland,Chile,9423678.0
111,Finland,Colombia,23761728.0
112,Finland,Czech Republic,894384.0
113,Finland,Estonia,41612196.0
114,Finland,Hungary,12089983.0
115,Finland,India,182512666.0
116,Finland,Latvia,19882388.0
117,Finland,Lithuania,12493168.0
118,Finland,Poland,12233233.0
119,Finland,Romania,26671.0
