id,node
0,India
1,Brazil
2,Taiwan
3,Korea
4,Cyprus
5,Lithuania
6,Thailand
7,Slovak Republic
8,United States
9,South Africa
10,Colombia
11,France
12,Chile
13,Poland
14,Czech Republic
15,Romania
16,Canada
17,Australia
18,Sweden
19,Hungary
20,Denmark
21,Finland
22,Greece
23,Austria
24,Ireland
25,Japan
26,Luxembourg
27,Saudi Arabia
28,New Zealand
29,United Kingdom
30,Belgium
31,Norway
32,Italy
33,Portugal
34,Qatar
35,Spain
36,Kuwait
37,Liechtenstein
38,Latvia
39,Estonia
40,Iceland
41,Switzerland
42,Germany
43,Slovenia
44,United Arab Emirates
45,Monaco
46,Netherlands
