,target,source,purpose,amount
0,Brazil,Australia,Higher education,439339.0
1,Brazil,Austria,Higher education,12891927.0
2,Brazil,Belgium,Higher education,1092295.0
3,Brazil,Canada,Higher education,4212673.0
4,Brazil,France,Higher education,257602255.0
5,Brazil,Germany,Higher education,261236736.0
6,Brazil,Greece,Higher education,1829851.0
7,Brazil,Italy,Higher education,11308072.0
8,Brazil,Japan,Higher education,10249937.0
9,Brazil,Korea,Higher education,1342435.0
10,Brazil,Netherlands,Higher education,2130761.0
11,Brazil,New Zealand,Higher education,1820932.0
12,Brazil,Norway,Higher education,419277.0
13,Brazil,Poland,Higher education,69369.0
14,Brazil,Portugal,Higher education,12299244.0
15,Brazil,Slovak Republic,Higher education,14669.0
16,Brazil,Spain,Higher education,28483888.0
17,Brazil,Sweden,Higher education,193922.0
18,Brazil,Switzerland,Higher education,1781311.0
19,Brazil,United Kingdom,Higher education,5753139.0
20,Chile,Australia,Higher education,1356739.0
21,Chile,Austria,Higher education,2833282.0
22,Chile,Belgium,Higher education,6782786.0
23,Chile,Canada,Higher education,2478932.0
24,Chile,France,Higher education,72338231.0
25,Chile,Germany,Higher education,96260470.0
26,Chile,Greece,Higher education,598368.0
27,Chile,Italy,Higher education,5401038.0
28,Chile,Japan,Higher education,1508003.0
29,Chile,Korea,Higher education,695850.0
30,Chile,Netherlands,Higher education,737086.0
31,Chile,New Zealand,Higher education,3684852.0
32,Chile,Portugal,Higher education,446509.0
33,Chile,Slovak Republic,Higher education,2296.0
34,Chile,Spain,Higher education,20805147.0
35,Chile,Sweden,Higher education,20136.0
36,Chile,Switzerland,Higher education,338410.0
37,Chile,United Kingdom,Higher education,2111802.0
38,Colombia,Australia,Higher education,1827670.0
39,Colombia,Austria,Higher education,8700507.0
40,Colombia,Belgium,Higher education,1654543.0
41,Colombia,Canada,Higher education,3750385.0
42,Colombia,Chile,Higher education,54881.0
43,Colombia,Czech Republic,Higher education,116693.0
44,Colombia,France,Higher education,185832126.0
45,Colombia,Germany,Higher education,146734186.0
46,Colombia,Greece,Higher education,443182.0
47,Colombia,Italy,Higher education,3514080.0
48,Colombia,Japan,Higher education,2146801.0
49,Colombia,Korea,Higher education,1277906.0
50,Colombia,Luxembourg,Higher education,391724.0
51,Colombia,Netherlands,Higher education,7127192.0
52,Colombia,New Zealand,Higher education,662756.0
53,Colombia,Norway,Higher education,72898.0
54,Colombia,Poland,Higher education,5522.0
55,Colombia,Portugal,Higher education,86604.0
56,Colombia,Spain,Higher education,36509624.0
57,Colombia,Sweden,Higher education,222437.0
58,Colombia,Switzerland,Higher education,2581552.0
59,Colombia,United Kingdom,Higher education,1832914.0
60,Cyprus,Austria,Higher education,569848.0
61,Cyprus,France,Higher education,2872833.0
62,Cyprus,Italy,Higher education,205390.0
63,Cyprus,Japan,Higher education,27266.0
64,Cyprus,Spain,Higher education,59573.0
65,Cyprus,United States,Higher education,9148060.0
66,Czech Republic,Austria,Higher education,3805307.0
67,Czech Republic,France,Higher education,14743126.0
68,Czech Republic,Germany,Higher education,763405.0
69,Czech Republic,Greece,Higher education,18218.0
70,Czech Republic,Italy,Higher education,105309.0
71,Czech Republic,Japan,Higher education,841749.0
72,Czech Republic,Portugal,Higher education,5078.0
73,Czech Republic,Spain,Higher education,742245.0
74,Czech Republic,Switzerland,Higher education,159935.0
75,Estonia,Finland,Higher education,105019.0
76,Estonia,France,Higher education,2747176.0
77,Estonia,Greece,Higher education,6157.0
78,Estonia,Italy,Higher education,11052.0
79,Estonia,Japan,Higher education,198119.0
80,Estonia,Portugal,Higher education,2710.0
81,Estonia,Spain,Higher education,58764.0
82,Estonia,Sweden,Higher education,101979.0
83,Estonia,Switzerland,Higher education,122088.0
84,Hungary,Austria,Higher education,10070864.0
85,Hungary,France,Higher education,17423455.0
86,Hungary,Italy,Higher education,1268055.0
87,Hungary,Japan,Higher education,3516570.0
88,Hungary,Portugal,Higher education,6634.0
89,Hungary,Spain,Higher education,484794.0
90,Hungary,Switzerland,Higher education,307792.0
91,India,Australia,Higher education,65528939.0
92,India,Austria,Higher education,18705840.0
93,India,Belgium,Higher education,2200367.0
94,India,Canada,Higher education,10844097.0
95,India,Cyprus,Higher education,5599.0
96,India,Czech Republic,Higher education,33985.0
