,target,source,purpose,amount
0,Brazil,Australia,Multisector aid,329471.0
1,Brazil,Austria,Multisector aid,2357588.0
2,Brazil,Belgium,Multisector aid,3059046.0
3,Brazil,Canada,Multisector aid,15676416.0
4,Brazil,Denmark,Multisector aid,23587.0
5,Brazil,Finland,Multisector aid,797546.0
6,Brazil,France,Multisector aid,20860077.0
7,Brazil,Germany,Multisector aid,69975638.0
8,Brazil,Ireland,Multisector aid,240783.0
9,Brazil,Italy,Multisector aid,31472410.0
10,Brazil,Japan,Multisector aid,73539968.0
11,Brazil,Luxembourg,Multisector aid,178676.0
12,Brazil,Netherlands,Multisector aid,149530.0
13,Brazil,New Zealand,Multisector aid,468511.0
14,Brazil,Norway,Multisector aid,8177544.0
15,Brazil,Spain,Multisector aid,3593592.0
16,Brazil,Switzerland,Multisector aid,4382314.0
17,Brazil,United Kingdom,Multisector aid,32677.0
18,Brazil,United States,Multisector aid,58972847.0
19,Chile,Australia,Multisector aid,502834.0
20,Chile,Austria,Multisector aid,328102.0
21,Chile,Belgium,Multisector aid,3309977.0
22,Chile,Canada,Multisector aid,12708500.0
23,Chile,Denmark,Multisector aid,7674437.0
24,Chile,Finland,Multisector aid,2850443.0
25,Chile,France,Multisector aid,5641810.0
26,Chile,Germany,Multisector aid,27177375.0
27,Chile,Italy,Multisector aid,12883197.0
28,Chile,Japan,Multisector aid,1632592.0
29,Chile,Netherlands,Multisector aid,11397874.0
30,Chile,New Zealand,Multisector aid,505442.0
31,Chile,Norway,Multisector aid,6061995.0
32,Chile,Spain,Multisector aid,71378451.0
33,Chile,Sweden,Multisector aid,4477767.0
34,Chile,Switzerland,Multisector aid,259922.0
35,Chile,United States,Multisector aid,2052328.0
36,Colombia,Australia,Multisector aid,262674.0
37,Colombia,Austria,Multisector aid,984351.0
38,Colombia,Belgium,Multisector aid,1423701.0
39,Colombia,Canada,Multisector aid,31471789.0
40,Colombia,Finland,Multisector aid,814580.0
41,Colombia,France,Multisector aid,2862374.0
42,Colombia,Germany,Multisector aid,21465221.0
43,Colombia,Ireland,Multisector aid,117560.0
44,Colombia,Italy,Multisector aid,2709495.0
45,Colombia,Japan,Multisector aid,9075985.0
46,Colombia,Korea,Multisector aid,639599.0
47,Colombia,Luxembourg,Multisector aid,63062.0
48,Colombia,Netherlands,Multisector aid,919003.0
49,Colombia,New Zealand,Multisector aid,112783.0
50,Colombia,Norway,Multisector aid,2045503.0
51,Colombia,Spain,Multisector aid,11814877.0
52,Colombia,Sweden,Multisector aid,47226.0
53,Colombia,Switzerland,Multisector aid,10373447.0
54,Colombia,United States,Multisector aid,234764690.0
55,Cyprus,Austria,Multisector aid,1265695.0
56,Cyprus,United States,Multisector aid,30376685.0
57,Czech Republic,France,Multisector aid,5904819.0
58,Czech Republic,Germany,Multisector aid,2313712.0
59,Czech Republic,Italy,Multisector aid,1097828.0
60,Czech Republic,Japan,Multisector aid,67102.0
61,Czech Republic,Switzerland,Multisector aid,489573.0
62,Czech Republic,United States,Multisector aid,5295651.0
63,Estonia,Finland,Multisector aid,703599.0
64,Estonia,France,Multisector aid,617262.0
65,Estonia,Germany,Multisector aid,62723.0
66,Estonia,Japan,Multisector aid,145725.0
67,Estonia,Sweden,Multisector aid,940335.0
68,Estonia,United States,Multisector aid,2230334.0
69,Hungary,Belgium,Multisector aid,63719.0
70,Hungary,France,Multisector aid,49627081.0
71,Hungary,Germany,Multisector aid,370744.0
72,Hungary,Italy,Multisector aid,1680291.0
73,Hungary,Japan,Multisector aid,136475783.0
74,Hungary,Liechtenstein,Multisector aid,47288.0
75,Hungary,Netherlands,Multisector aid,685367.0
76,Hungary,Switzerland,Multisector aid,19534.0
77,Hungary,United Kingdom,Multisector aid,945109.0
78,Hungary,United States,Multisector aid,6818490.0
79,India,Australia,Multisector aid,19389405.0
80,India,Austria,Multisector aid,1561205.0
81,India,Belgium,Multisector aid,35375933.0
82,India,Canada,Multisector aid,29137521.0
83,India,Denmark,Multisector aid,125915052.0
84,India,Finland,Multisector aid,4850479.0
85,India,France,Multisector aid,63368782.0
86,India,Germany,Multisector aid,264671273.0
87,India,Ireland,Multisector aid,1603233.0
88,India,Italy,Multisector aid,1509644.0
89,India,Japan,Multisector aid,337237440.0
90,India,Kuwait,Multisector aid,83971160.0
91,India,Luxembourg,Multisector aid,286976.0
92,India,Netherlands,Multisector aid,155457481.0
93,India,New Zealand,Multisector aid,395460.0
94,India,Norway,Multisector aid,49046302.0
95,India,Portugal,Multisector aid,2781.0
96,India,Spain,Multisector aid,959340.0
97,India,Sweden,Multisector aid,144316927.0
98,India,Switzerland,Multisector aid,99416615.0
99,India,United Kingdom,Multisector aid,57594544.0
100,India,United States,Multisector aid,482228471.0
101,Korea,Austria,Multisector aid,6166709.0
102,Korea,Canada,Multisector aid,193447.0
103,Korea,France,Multisector aid,244805.0
104,Korea,Germany,Multisector aid,6573607.0
105,Korea,United States,Multisector aid,15564219.0
106,Kuwait,Austria,Multisector aid,65704.0
107,Kuwait,Canada,Multisector aid,1568.0
108,Kuwait,France,Multisector aid,65729.0
109,Latvia,Finland,Multisector aid,203808.0
110,Latvia,France,Multisector aid,381345.0
111,Latvia,Germany,Multisector aid,58812.0
112,Latvia,Norway,Multisector aid,69593.0
113,Latvia,Sweden,Multisector aid,756336.0
114,Latvia,Switzerland,Multisector aid,21976.0
115,Latvia,United States,Multisector aid,8491119.0
116,Lithuania,Austria,Multisector aid,44353.0
117,Lithuania,Finland,Multisector aid,185631.0
118,Lithuania,France,Multisector aid,577263.0
119,Lithuania,Germany,Multisector aid,109773.0
120,Lithuania,Sweden,Multisector aid,71542.0
121,Lithuania,United States,Multisector aid,13453955.0
122,Poland,Belgium,Multisector aid,756158.0
123,Poland,Canada,Multisector aid,4171126.0
124,Poland,France,Multisector aid,96557645.0
125,Poland,Germany,Multisector aid,4848898.0
126,Poland,Japan,Multisector aid,32702.0
127,Poland,Spain,Multisector aid,24547919.0
128,Poland,Sweden,Multisector aid,2664879.0
129,Poland,United Kingdom,Multisector aid,1476593.0
130,Poland,United States,Multisector aid,32823690.0
131,Qatar,France,Multisector aid,79099.0
132,Romania,Czech Republic,Multisector aid,156771.0
