,target,source,purpose,amount
0,Brazil,Australia,Strengthening civil society,295424.0
1,Brazil,Austria,Strengthening civil society,3600550.0
2,Brazil,Belgium,Strengthening civil society,7505345.0
3,Brazil,Canada,Strengthening civil society,35167123.0
4,Brazil,Finland,Strengthening civil society,1128193.0
5,Brazil,France,Strengthening civil society,2796460.0
6,Brazil,Germany,Strengthening civil society,142439130.0
7,Brazil,Ireland,Strengthening civil society,2452865.0
8,Brazil,Italy,Strengthening civil society,7830332.0
9,Brazil,Japan,Strengthening civil society,67590.0
10,Brazil,Luxembourg,Strengthening civil society,2422528.0
11,Brazil,Netherlands,Strengthening civil society,890146.0
12,Brazil,Norway,Strengthening civil society,40291921.0
13,Brazil,Portugal,Strengthening civil society,6952.0
14,Brazil,Spain,Strengthening civil society,16673884.0
15,Brazil,Sweden,Strengthening civil society,7155605.0
16,Brazil,Switzerland,Strengthening civil society,336398.0
17,Brazil,United Kingdom,Strengthening civil society,10813772.0
18,Brazil,United States,Strengthening civil society,4925480.0
19,Chile,Australia,Strengthening civil society,51589.0
20,Chile,Belgium,Strengthening civil society,2479556.0
21,Chile,Canada,Strengthening civil society,864997.0
22,Chile,Chile,Strengthening civil society,108.0
23,Chile,Finland,Strengthening civil society,180493.0
24,Chile,France,Strengthening civil society,332998.0
25,Chile,Germany,Strengthening civil society,10508007.0
26,Chile,Ireland,Strengthening civil society,374608.0
27,Chile,Italy,Strengthening civil society,360438.0
28,Chile,Luxembourg,Strengthening civil society,661353.0
29,Chile,Netherlands,Strengthening civil society,1277955.0
30,Chile,Norway,Strengthening civil society,7115706.0
31,Chile,Portugal,Strengthening civil society,8724.0
32,Chile,Spain,Strengthening civil society,2259519.0
33,Chile,Sweden,Strengthening civil society,3367315.0
34,Chile,Switzerland,Strengthening civil society,166234.0
35,Chile,United Kingdom,Strengthening civil society,78231.0
36,Chile,United States,Strengthening civil society,604005.0
37,Colombia,Australia,Strengthening civil society,105952.0
38,Colombia,Austria,Strengthening civil society,528200.0
39,Colombia,Belgium,Strengthening civil society,8994185.0
40,Colombia,Brazil,Strengthening civil society,16184.0
41,Colombia,Canada,Strengthening civil society,56051792.0
42,Colombia,Denmark,Strengthening civil society,464432.0
43,Colombia,Finland,Strengthening civil society,5003079.0
44,Colombia,France,Strengthening civil society,402960.0
45,Colombia,Germany,Strengthening civil society,77051027.0
46,Colombia,Ireland,Strengthening civil society,8161504.0
47,Colombia,Italy,Strengthening civil society,3770889.0
48,Colombia,Japan,Strengthening civil society,562623.0
49,Colombia,Korea,Strengthening civil society,141890.0
50,Colombia,Luxembourg,Strengthening civil society,636445.0
51,Colombia,Netherlands,Strengthening civil society,27085778.0
52,Colombia,Norway,Strengthening civil society,29093094.0
53,Colombia,Portugal,Strengthening civil society,522.0
54,Colombia,Spain,Strengthening civil society,118795672.0
55,Colombia,Sweden,Strengthening civil society,91922947.0
56,Colombia,Switzerland,Strengthening civil society,6798246.0
57,Colombia,United Kingdom,Strengthening civil society,3221384.0
58,Colombia,United States,Strengthening civil society,176799542.0
59,Cyprus,Germany,Strengthening civil society,73346.0
60,Cyprus,Norway,Strengthening civil society,1200482.0
61,Cyprus,United States,Strengthening civil society,870222.0
62,Czech Republic,Germany,Strengthening civil society,162760.0
63,Czech Republic,Italy,Strengthening civil society,1333.0
64,Czech Republic,Netherlands,Strengthening civil society,831442.0
65,Czech Republic,Norway,Strengthening civil society,77278.0
66,Czech Republic,Portugal,Strengthening civil society,36234.0
67,Czech Republic,Sweden,Strengthening civil society,24149.0
68,Czech Republic,United Kingdom,Strengthening civil society,74304.0
69,Czech Republic,United States,Strengthening civil society,270498.0
70,Estonia,Finland,Strengthening civil society,105244.0
71,Estonia,Germany,Strengthening civil society,181789.0
72,Estonia,Netherlands,Strengthening civil society,1103085.0
73,Estonia,Norway,Strengthening civil society,13919.0
74,Estonia,Sweden,Strengthening civil society,1518860.0
75,Estonia,United States,Strengthening civil society,1461332.0
76,Hungary,Canada,Strengthening civil society,2185718.0
77,Hungary,Germany,Strengthening civil society,292969.0
78,Hungary,Netherlands,Strengthening civil society,216227.0
79,Hungary,Portugal,Strengthening civil society,15017.0
80,Hungary,United Kingdom,Strengthening civil society,891925.0
81,Hungary,United States,Strengthening civil society,461498.0
82,India,Australia,Strengthening civil society,1131263.0
83,India,Austria,Strengthening civil society,199352.0
84,India,Belgium,Strengthening civil society,11640975.0
85,India,Canada,Strengthening civil society,25908564.0
86,India,Denmark,Strengthening civil society,10229226.0
87,India,Finland,Strengthening civil society,4153476.0
88,India,France,Strengthening civil society,1028637.0
89,India,Germany,Strengthening civil society,132766027.0
90,India,Ireland,Strengthening civil society,12335005.0
91,India,Italy,Strengthening civil society,5095782.0
92,India,Japan,Strengthening civil society,1279132.0
93,India,Luxembourg,Strengthening civil society,3172309.0
94,India,Netherlands,Strengthening civil society,18012764.0
95,India,New Zealand,Strengthening civil society,253198.0
96,India,Norway,Strengthening civil society,31743640.0
97,India,Spain,Strengthening civil society,7572696.0
98,India,Sweden,Strengthening civil society,26582208.0
99,India,Switzerland,Strengthening civil society,257164.0
100,India,United Kingdom,Strengthening civil society,209088717.0
101,India,United States,Strengthening civil society,28039205.0
102,Korea,France,Strengthening civil society,25730.0
103,Korea,United States,Strengthening civil society,813463.0
104,Latvia,Finland,Strengthening civil society,256578.0
105,Latvia,Germany,Strengthening civil society,198272.0
106,Latvia,Netherlands,Strengthening civil society,1358139.0
107,Latvia,Sweden,Strengthening civil society,2027687.0
108,Latvia,United States,Strengthening civil society,520608.0
109,Lithuania,Canada,Strengthening civil society,730498.0
110,Lithuania,Finland,Strengthening civil society,203952.0
111,Lithuania,Germany,Strengthening civil society,145005.0
112,Lithuania,Netherlands,Strengthening civil society,1256626.0
113,Lithuania,Norway,Strengthening civil society,100910.0
114,Lithuania,Sweden,Strengthening civil society,2471078.0
115,Lithuania,United States,Strengthening civil society,634294.0
116,Poland,Canada,Strengthening civil society,732995.0
117,Poland,Germany,Strengthening civil society,230072.0
118,Poland,Netherlands,Strengthening civil society,1916173.0
119,Poland,Norway,Strengthening civil society,10982.0
120,Poland,Portugal,Strengthening civil society,4270.0
121,Poland,Spain,Strengthening civil society,258248.0
122,Poland,Sweden,Strengthening civil society,215212.0
123,Poland,United Kingdom,Strengthening civil society,525148.0
124,Poland,United States,Strengthening civil society,245907.0
125,Romania,Canada,Strengthening civil society,2366865.0
126,Romania,France,Strengthening civil society,91666.0
127,Romania,Germany,Strengthening civil society,14834.0
128,Romania,Greece,Strengthening civil society,5679.0
129,Romania,Italy,Strengthening civil society,1080623.0
130,Romania,Netherlands,Strengthening civil society,1528027.0
131,Romania,Norway,Strengthening civil society,441382.0
132,Romania,Portugal,Strengthening civil society,3625.0
133,Romania,Spain,Strengthening civil society,300577.0
134,Romania,Sweden,Strengthening civil society,157289.0
135,Romania,Switzerland,Strengthening civil society,2044024.0
136,Romania,United Kingdom,Strengthening civil society,79868.0
137,Romania,United States,Strengthening civil society,19068340.0
138,Saudi Arabia,United Kingdom,Strengthening civil society,397639.0
139,Saudi Arabia,United States,Strengthening civil society,804528.0
140,Slovak Republic,Austria,Strengthening civil society,318962.0
141,Slovak Republic,Canada,Strengthening civil society,1658441.0
142,Slovak Republic,Germany,Strengthening civil society,85819.0
143,Slovak Republic,Italy,Strengthening civil society,95134.0
144,Slovak Republic,Netherlands,Strengthening civil society,776261.0
145,Slovak Republic,Norway,Strengthening civil society,338725.0
146,Slovak Republic,Spain,Strengthening civil society,13641.0
147,Slovak Republic,Sweden,Strengthening civil society,144660.0
148,Slovak Republic,United States,Strengthening civil society,5260889.0
149,Slovenia,Canada,Strengthening civil society,32284.0
150,Slovenia,Netherlands,Strengthening civil society,760875.0
151,Slovenia,United Kingdom,Strengthening civil society,14093.0
152,Slovenia,United States,Strengthening civil society,184430.0
153,South Africa,Australia,Strengthening civil society,5681271.0
154,South Africa,Austria,Strengthening civil society,7355963.0
155,South Africa,Belgium,Strengthening civil society,16253073.0
156,South Africa,Canada,Strengthening civil society,13394358.0
157,South Africa,Denmark,Strengthening civil society,25009460.0
158,South Africa,Finland,Strengthening civil society,28623247.0
159,South Africa,France,Strengthening civil society,1286497.0
160,South Africa,Germany,Strengthening civil society,38321452.0
161,South Africa,Ireland,Strengthening civil society,26667107.0
162,South Africa,Italy,Strengthening civil society,1203679.0
163,South Africa,Japan,Strengthening civil society,656585.0
164,South Africa,Korea,Strengthening civil society,57647.0
165,South Africa,Luxembourg,Strengthening civil society,49694.0
166,South Africa,Netherlands,Strengthening civil society,20859400.0
167,South Africa,New Zealand,Strengthening civil society,171066.0
168,South Africa,Norway,Strengthening civil society,92879019.0
169,South Africa,Portugal,Strengthening civil society,64073.0
170,South Africa,Spain,Strengthening civil society,1201934.0
171,South Africa,Sweden,Strengthening civil society,235270444.0
172,South Africa,Switzerland,Strengthening civil society,10402943.0
173,South Africa,United Kingdom,Strengthening civil society,47080571.0
174,South Africa,United States,Strengthening civil society,147656670.0
175,Thailand,Australia,Strengthening civil society,32356702.0
176,Thailand,Belgium,Strengthening civil society,1211620.0
177,Thailand,Canada,Strengthening civil society,23173200.0
178,Thailand,Denmark,Strengthening civil society,6525337.0
179,Thailand,Finland,Strengthening civil society,2850374.0
180,Thailand,France,Strengthening civil society,1458762.0
181,Thailand,Germany,Strengthening civil society,2115354.0
182,Thailand,Ireland,Strengthening civil society,1273997.0
183,Thailand,Italy,Strengthening civil society,1276438.0
184,Thailand,Japan,Strengthening civil society,6581126.0
185,Thailand,Korea,Strengthening civil society,55945.0
186,Thailand,Netherlands,Strengthening civil society,1630480.0
187,Thailand,Norway,Strengthening civil society,6027622.0
188,Thailand,Spain,Strengthening civil society,34531.0
189,Thailand,Sweden,Strengthening civil society,2703616.0
190,Thailand,Switzerland,Strengthening civil society,44919.0
191,Thailand,United Arab Emirates,Strengthening civil society,30072.0
192,Thailand,United Kingdom,Strengthening civil society,1097749.0
193,Thailand,United States,Strengthening civil society,23799338.0
194,United Arab Emirates,France,Strengthening civil society,7226.0
195,United Arab Emirates,Japan,Strengthening civil society,102705.0
